type,fpar,nirv,nirvp,lue,lai,glass_lai,apar,norm_nirv_glass,norm_nirv_modis
CRO,0.10041724150920965,0.07142203895919183,46.984553216123345,0.01347695050486894,0.6169653481523669,0.9228264620988054,102.6577863076232,0.023230002787290826,0.025530480159857254
CSH,0.2363316577079415,0.04802065691687271,12.13813856248692,0.009769857320901437,1.3834360418761178,0.6531616673462064,51.33320353549305,0.015136192509162748,0.043195333261572974
DBF,0.16023384378888267,0.07641669567376227,27.672329570693826,0.011027105369514706,1.5042982422053726,1.568139352611302,58.506828723007054,0.01854242512714887,0.032702214891560506
ENF,0.14498765904488867,0.04115113907496501,13.627932359067879,0.012980537780465621,0.942746612596539,1.0921280782481262,49.251069344458216,0.020529407208807297,0.026277399797991322
GRA,0.18496419747787232,0.0791482363831934,30.42643251721407,0.015209879300274906,0.9896199983315382,0.9961762773396693,72.83449265282069,0.036838205633669144,0.03324826938265811
MF,0.17148322506646116,0.06613129102162657,16.596288586116582,0.008180094001655484,1.3170143730351145,1.2365501548709472,40.42194102411971,0.016813203064836153,0.03441194685070092
OSH,0.21775063617449697,0.061574498353247215,11.055878724946966,0.012129182033854269,0.6093516287005931,0.6436741460164451,40.43129698355431,0.05763478155091553,0.05064680584910387
SAV,0.14479087729600973,0.051831320004637284,25.43626866067848,0.008228431099456632,0.48924291320166924,0.4500983688780339,68.19500889764177,0.04327547404826526,0.04082554243825323
WET,0.16246116935824198,0.06307636976149522,28.419700821555207,0.01674558154980703,0.9272288407657442,1.2601167173406205,78.93985289143595,0.04872369378615864,0.045385146064422136
WSA,0.1426898558597554,0.050137402248506206,33.34316283877841,0.005252593514951278,0.6404039252690445,0.7494797095782144,91.86961091014071,0.02343636770150546,0.029497290624188856
mid_EBF,0.1652266262278358,0.026029832009866662,5.058576311033627,0.007420566853319776,1.4542339223390777,1.3439223311422641,26.80882803110849,0.021359181604516136,0.030403018316010673
tropical_EBF,0.053990240325755334,0.06898743142604588,52.37256851023617,0.006099799913836047,1.6327372664614208,1.2215885746982633,154.3034679996867,0.0037542157901852037,0.0022079887413631546
